player_name,team,salary
Dean Wade,CLE,1930681
Terance Mann,LAC,1930681
Jaylen Nowell,MIN,1930681
Naz Reid,MIN,1930681
Jalen McDaniels,PHI/CHO,1930681
Daniel Gafford,WAS,1930681
Chimezie Metu,SAC,1910860
Davon Reed,DEN/LAL,1902133
KZ Okpala,SAC,1902133
Wenyen Gabriel,LAL,1878720
Thanasis Antetokounmpo,MIL,1878720
Moritz Wagner,ORL,1878720
Keita Bates-Diop,SAS,1878720
Oshae Brissett,IND,1846738
Nathan Knight,MIN,1836090
Justin Jackson,BOS,1836090
Isaiah Joe,OKC,1836090
Ryan Arcidiacono,NYK/POR,1836090
Anthony Gill,WAS,1836090
Javonte Green,CHI,1815677
Gabe Vincent,MIA,1815677
Max Strus,MIA,1815677
Nick Richards,CHO,1782621
Lamar Stevens,CLE,1782621
Naji Marshall,NOP,1782621
Paul Reed,PHI,1782621
Tre Jones,SAS,1782621
Haywood Highsmith,MIA,1752638
Omer Yurtseven,MIA,1752638
Leandro Bolmaro,UTA,1709300
Terry Taylor,CHI/IND,1703902
Jared Butler,OKC,1674655
Jericho Sims,NYK,1639842
Sam Hauser,BOS,1637966
Kessler Edwards,BRK/SAC,1637966
Isaiah Todd,WAS,1575000
Vit Krejci,ATL,1563518
JT Thor,CHO,1563518
Marko Simonovic,CHI,1563518
Ayo Dosunmu,CHI,1563518
Isaiah Livers,DET,1563518
Daishen Nix,HOU,1563518
Jason Preston,LAC,1563518
Austin Reaves,LAL,1563518
Jose Alvarado,NOP,1563518
Miles McBride,NYK,1563518
Aaron Wiggins,OKC,1563518
Jock Landale,PHO,1563518
Trendon Watford,POR,1563518
Dalano Banton,TOR,1563518
Christian Koloko,TOR,1500000
Bryce McGowens,CHO,1461055
Jordan Goodwin,WAS,1280206
Kennedy Chandler,MEM,1200000
Noah Vonleh,BOS,1160955
Sandro Mamukelashvili,SAS/MIL,1116112
Sam Merrill,CLE,1105522
Tyrese Martin,ATL,1017781
Jaden Hardy,DAL,1017781
Ryan Rollins,GSW,1017781
Max Christie,LAL,1017781
Josh Minott,MIN,1017781
Jabari Walker,POR,1017781
Eugene Omoruyi,DET/OKC,1013119
Kris Dunn,UTA,1000001
Admiral Schofield,ORL,877940
Justin Champagnie,BOS/TOR,853241
Trevelin Queen,IND,838891
Moses Brown,BRK/LAC,824041
Matt Ryan,LAL/MIN,806097
PJ Dozier,SAC,784654
Cody Zeller,MIA,743922
Meyers Leonard,MIL,713558
Anthony Lamb,GSW,694878
Michael Carter-Williams,ORL,652829
Carlik Jones,CHI,612162
Trevor Keels,NYK,520589
Dereon Seabron,NOP,511816
Trent Forrest,ATL,508891
Mfiondu Kabengele,BOS,508891
JD Davison,BOS,508891
Malcolm Hill,CHI,508891
Mamadi Diakite,CLE,508891
